,date,Item_id,product_upc,store_id,ItemName,Description,BrandName,product_category,company,size_name,size_description,QuantityInCase,Dollars,quantity,totaldiscount,discount_percentage,Promo_Price,price,total_transactions,month,day,year,month_number,week_number,company_full_name,street,city,state,state_code,zipcode,latitude,longitude,average_temperature,tmin,tmax,prcp,average_snow,wdir,wspd,wpgt,pres,tsun,gas_price,consumer_price_index,inflation,ix,total_weeks,total_weeks_max,group_total_discount,days_diff,data_type,Corresponding_Date,week_count,total_weeks_on_sale
0,2021-11-28,597,12,1,DRINKS,DRINKS,0,DRINKS,chiragpatelky_262,0,0,0,599.03,7.0,0.0,0.8333333333333334,98.92166666666668,196.92666666666665,6,11,28,2021,11,47,Royal Tobacco & Food,397 Old Us Hwy 421,Manchester,Kentucky,KY ,40962.0,37.1373606,-83.7629505,3.028571428571429,-3.0142857142857147,8.785714285714286,0.8857142857142858,,274.1428571428572,7.171428571428572,,1021.342857142857,,3.38,280.192,7.0,1,1,110,3.84,0,forModel,,1,1
1,2021-12-05,597,12,1,DRINKS,DRINKS,0,DRINKS,chiragpatelky_262,0,0,0,0.99,1.0,0.0,1.0,0.99,1.98,1,12,5,2021,12,48,Royal Tobacco & Food,397 Old Us Hwy 421,Manchester,Kentucky,KY ,40962.0,37.1373606,-83.7629505,11.08,4.5600000000000005,18.12,0.0,,175.4,8.36,,1017.76,,3.341,280.887,7.0,1,2,110,3.84,0,forModel,,1,2
2,2021-12-12,597,12,1,DRINKS,DRINKS,0,DRINKS,chiragpatelky_262,0,0,0,19.19,4.0,0.0,1.0,4.7975,9.595,4,12,12,2021,12,49,Royal Tobacco & Food,397 Old Us Hwy 421,Manchester,Kentucky,KY ,40962.0,37.1373606,-83.7629505,6.185714285714286,0.0857142857142856,12.6,5.142857142857143,,169.85714285714286,9.371428571428572,,1017.9571428571428,,3.315,280.887,7.0,1,3,110,3.84,0,forModel,,1,3
3,2021-12-19,597,12,1,DRINKS,DRINKS,0,DRINKS,chiragpatelky_262,0,0,0,0.89,1.0,0.0,1.0,0.89,1.78,1,12,19,2021,12,50,Royal Tobacco & Food,397 Old Us Hwy 421,Manchester,Kentucky,KY ,40962.0,37.1373606,-83.7629505,8.9,3.0285714285714285,15.642857142857142,3.3000000000000003,,140.42857142857142,8.214285714285714,,1023.5285714285714,,3.295,281.933,7.5,1,4,110,3.84,0,forModel,,1,4
4,2021-12-26,597,12,1,DRINKS,DRINKS,0,DRINKS,chiragpatelky_262,0,0,0,5.99,1.0,0.0,1.0,5.99,11.98,1,12,26,2021,12,51,Royal Tobacco & Food,397 Old Us Hwy 421,Manchester,Kentucky,KY ,40962.0,37.1373606,-83.7629505,6.971428571428571,2.3714285714285714,12.528571428571428,0.0,,240.28571428571428,7.557142857142857,,1016.6714285714286,,3.275,281.933,7.5,1,5,110,3.84,0,forModel,,1,5
5,2022-01-16,597,12,1,DRINKS,DRINKS,0,DRINKS,chiragpatelky_262,0,0,0,1.58,2.0,0.0,1.0,0.79,1.58,2,1,16,2022,1,2,Royal Tobacco & Food,397 Old Us Hwy 421,Manchester,Kentucky,KY ,40962.0,37.1373606,-83.7629505,1.0714285714285714,-3.0285714285714285,5.714285714285714,2.957142857142857,,234.8571428571429,8.585714285714285,,1020.9857142857144,,3.306,282.599,7.5,1,6,110,3.84,0,forModel,,1,6
6,2022-01-30,597,12,1,DRINKS,DRINKS,0,DRINKS,chiragpatelky_262,0,0,0,0.89,1.0,0.0,1.0,0.89,1.78,1,1,30,2022,1,4,Royal Tobacco & Food,397 Old Us Hwy 421,Manchester,Kentucky,KY ,40962.0,37.1373606,-83.7629505,-1.9428571428571428,-7.628571428571429,4.671428571428572,0.5285714285714286,,271.42857142857144,7.014285714285714,,1020.4571428571428,,3.368,284.182,7.9,1,7,110,3.84,0,forModel,,1,7
7,2022-02-06,597,12,1,DRINKS,DRINKS,0,DRINKS,chiragpatelky_262,0,0,0,0.99,1.0,0.0,1.0,0.99,1.98,1,2,6,2022,2,5,Royal Tobacco & Food,397 Old Us Hwy 421,Manchester,Kentucky,KY ,40962.0,37.1373606,-83.7629505,2.2,-2.8666666666666667,7.766666666666667,6.383333333333333,,227.16666666666663,7.900000000000001,,1023.1333333333332,,3.444,284.61,7.9,1,8,110,3.84,0,forModel,,1,8
8,2022-02-13,597,12,1,DRINKS,DRINKS,0,DRINKS,chiragpatelky_262,0,0,0,0.79,1.0,0.0,1.0,0.79,1.58,1,2,13,2022,2,6,Royal Tobacco & Food,397 Old Us Hwy 421,Manchester,Kentucky,KY ,40962.0,37.1373606,-83.7629505,4.142857142857143,-3.1714285714285717,11.571428571428571,0.0,,282.7142857142857,10.585714285714284,,1018.7714285714284,,3.487,284.61,7.9,1,9,110,3.84,0,forModel,,1,9
9,2022-02-20,597,12,1,DRINKS,DRINKS,0,DRINKS,chiragpatelky_262,0,0,0,0.79,1.0,0.0,1.0,0.79,1.58,1,2,20,2022,2,7,Royal Tobacco & Food,397 Old Us Hwy 421,Manchester,Kentucky,KY ,40962.0,37.1373606,-83.7629505,4.771428571428571,-1.5142857142857145,11.728571428571428,6.957142857142857,,209.8571428571429,12.471428571428572,,1023.9571428571428,,3.53,287.708,8.5,1,10,110,3.84,0,forModel,,1,10
